"centroid_id","out003_land_imperviousness_density_change_2024pr","out003_land_imperviousness_density_change_2024pr_sd","out003_land_imperviousness_density_change_2024pr_label","out009_tree_cover_density_2024pr","out009_tree_cover_density_2024pr_sd","out009_tree_cover_density_2024pr_label","out010_tree_cover_density_change_2024pr","out010_tree_cover_density_change_2024pr_sd","out010_tree_cover_density_change_2024pr_label","out011_grassland_2024pr","out011_grassland_2024pr_sd","out011_grassland_2024pr_label","out012_grassland_change_2024pr","out012_grassland_change_2024pr_sd","out012_grassland_change_2024pr_label","out017_land_use_and_cover_nature_2k_2024pr","out017_land_use_and_cover_nature_2k_2024pr_sd","out017_land_use_and_cover_nature_2k_2024pr_label","out040_plant_phenology_index_total_productivity_2024pr","out040_plant_phenology_index_total_productivity_2024pr_sd","out040_plant_phenology_index_total_productivity_2024pr_label","out057_temperature_avg_absolute_change_2024pr_rcp85","out057_temperature_avg_absolute_change_2024pr_rcp85_sd","out057_temperature_avg_absolute_change_2024pr_rcp85_label","out058_potential_evapotranspiration_relative_change_2024pr_rcp85","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_sd","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_label","out059_precipitation_cum_relative_change_2024pr_rcp85","out059_precipitation_cum_relative_change_2024pr_rcp85_sd","out059_precipitation_cum_relative_change_2024pr_rcp85_label","out065_number_species_cum_all_2024pr","out065_number_species_cum_all_2024pr_sd","out065_number_species_cum_all_2024pr_label","out147_land_use_and_cover_change_2024pr","out147_land_use_and_cover_change_2024pr_sd","out147_land_use_and_cover_change_2024pr_label","attention_level"
1,-0.0279170451950004,0.185277949427372,"H",-0.704343223989377,0.221378879499878,"M",0,0,"M",0.141826923076923,0.349292612301407,"H",0.0480769230769231,0.447317201106699,"H",0.0120192307692308,0.109102624908003,"H",-0.33816030638242,0.805324310208889,"L",-0.237101073334476,0,"M",-1.59068609692304,0,"L",2.09043472376981,0,"H",-1.2365034830135,0.536283048075397,"L",0,0,"M","closer attention"
2,-0.0287089277990206,0.276530715107211,"H",-0.642833748993501,0.380821777327645,"M",0,0,"M",0.3081986834231,0.461887353115806,"H",-0.0365050867743866,0.499564594677752,"L",0.0293237582286056,0.168762909635801,"H",-0.184149753876209,0.779471496634018,"M",1.13110200965295,0.400026142443998,"H",0.979055024871522,0.487661458308029,"H",-0.482607719231161,0.47594084100856,"L",-1.79200998364902,0.564154830261121,"L",0.00299222022740874,0.0422782265762521,"H","closer attention"
3,-0.0348113042031539,0.121288659554907,"H",1.31827039532165,0.329825483809346,"H",0.00162972620599739,0.0403435336478594,"H",0.0159713168187744,0.125384840230891,"H",0.0130378096479791,0.255029926329824,"H",0.0091264667535854,0.0951111081782317,"H",0.49296269118052,0.756110288002531,"H",-0.129354593531602,0.375332495894544,"M",0.613378990490316,0.222216366417163,"M",-1.06398133092601,0.238647461178259,"L",0.164655184729952,0.73653544185445,"M",0,0,"M","closer attention"
4,-0.0193589174344172,0.383692230996194,"H",-0.7259271821127,0.147833950085822,"M",0,0,"M",0.547087800637496,0.497849937345482,"H",-0.368009272674587,0.519372035460459,"L",0.0127499275572298,0.112209693951376,"H",0.191442749761722,0.496320494171806,"M",0.167415082128005,0.429152466081265,"M",0.856742766951133,0.35458888785405,"H",-1.09601932707637,0.370480020624227,"L",-0.223253839931708,0.485253112766254,"L",0.00115908432338453,0.0340305219468184,"H","closer attention"
5,-0.0370010440370057,0,"H",-0.704773083983998,0.233611036384924,"M",0,0,"M",0.0446194225721785,0.206557153497433,"H",-0.0349956255468067,0.222625975235368,"L",0.0376202974628171,0.190359433292243,"H",-1.11994344403922,0.532896218319493,"L",-0.225285274871086,0.256068526097364,"M",0.59130320817041,0.207230691100592,"M",-1.11031106058276,0.157396704419424,"L",-2.73956103491406,0.530554800319322,"L",0.00437445319335083,0.0660237163117603,"H","medium attention"
6,-0.0260416283595742,0.284187547124219,"H",-0.529237676999923,0.484008501745481,"M",0.0122349102773246,0.109977646507361,"H",0.898858075040783,0.301639602912059,"H",-0.67536704730832,0.468428623560064,"L",0.0179445350734095,0.13280404539076,"H",-0.0206500704250714,0.571292662744172,"M",-1.17334819210356,0.369716341742582,"L",-1.16250916686055,0.337011519288855,"L",0.764037048795996,0.211730150263178,"H",0.690278548212118,0.330969419831682,"H",0.000407830342577488,0.0142798869494385,"H","closer attention"
7,-0.0265508705127447,0.327657760691299,"H",-0.703878683945939,0.22833251033668,"M",0.00595617953626888,0.0769542928350419,"H",0.0423314188470538,0.20136557611608,"H",-0.0321208253563072,0.258535052716713,"L",0.0467985534992555,0.211229590846006,"H",-1.03433280238021,0.412803864251655,"L",-0.140344488574701,0.322432076756421,"M",0.677793624431504,0.298526393096084,"H",-1.13636647985454,0.211121638607035,"L",0.0411993573566863,0.365894801138529,"L",0.00106360348861944,0.0325990535776891,"H","closer attention"
8,-0.0337389149670931,0.178760172863365,"H",-0.737972579568584,0.105092761000523,"M",0,0,"M",0.13984461709212,0.346857831294222,"H",0.0960044395116537,0.384041918747082,"H",0.0249722530521643,0.156054940536521,"H",-0.514176673595797,0.558372600780693,"L",0.819492430948897,0.161402917528377,"H",0.650274388601086,0.102461396025555,"M",-0.414571181091884,0.233204811993442,"L",0.734541819614349,0.556437285147884,"H",0.00277469478357381,0.0526071077427705,"H","closer attention"
9,-0.0333233710742202,0.178377887211494,"H",-0.700005134688271,0.223768920275436,"M",0.0149540696432386,0.121382012569497,"H",0.0202948088015381,0.141021906193557,"H",0.0484939115573595,0.313510547974953,"H",0.0232856227301859,0.15082527044777,"H",-0.770969372758213,0.381690612602919,"L",-1.0414044593985,0.23716584340421,"L",-1.10073909884428,0.294000093826711,"L",0.763721202341983,0.151353341743153,"H",0.756825824493615,0.359779579287218,"H",0.000427259132663961,0.0206680390452867,"H","closer attention"
10,-0.0370010440370061,0,"H",-0.344251987863192,0.801420448092558,"M",0,0,"M",0.194528875379939,0.396138714599466,"H",0.0151975683890578,0.454719918673597,"H",0,0,"M",2.70397773403581,0.856683913865372,"H",-0.894846785221039,0.294810601524905,"L",-1.05087590300837,0.239107142765436,"L",0.841013766808572,0.451160992370328,"H",0.713795295727908,0.440343553129257,"H",0,0,"M","closer attention"
11,-0.00900886982756487,0.500563318951673,"H",-0.583271586029528,0.365433693142683,"M",0.0485507246376812,0.215004766544588,"H",0.197826086956522,0.398504708993289,"H",-0.120289855072464,0.403062860317887,"L",0.0115942028985507,0.107089157089218,"H",-0.754750625577549,0.352979367117241,"L",-0.944231124352137,0.0503569736432514,"L",-0.97753881926469,0.0036921489486321,"L",0.699449232915451,0.0162648107284236,"M",-0.930041185322703,0.301556127102319,"L",0,0,"M","low attention"
12,26.1050054864921,7.91522575166279,"H",-0.724113329324081,0.190405504252844,"M",0,0,"M",0.0410958904109589,0.199885812151697,"H",0,0.166666666666667,"M",0.164383561643836,0.3731881648615,"H",-0.895004813166368,0.715853409493772,"L",-0.159978348084162,0.665232277470567,"M",0.147320483043832,0.863798551708958,"M",-0.378400012121423,1.01100102138722,"L",-0.208178262981429,0.861094975744917,"L",0.0684931506849315,0.254338309436231,"H","medium attention"
13,-0.00655638326540904,0.392430700881363,"H",-0.698619526824823,0.253128748486756,"M",0,0,"M",0.114803625377644,0.319267448613842,"H",-0.123867069486405,0.373036070037012,"L",0.166163141993958,0.372790570786968,"H",-0.5691895667018,0.624890584094946,"L",-1.13127005583136,0.411507783604002,"L",-0.991252423245459,0.0301715516375368,"L",0.639037484566385,0.132912995546728,"M",-2.15104623237183,0.700710768661808,"L",0.0120845921450151,0.0769033559463955,"H","low attention"
